Fecha,Año,Mes,Día,Hora,Comuna,Tipo de Calle,Tipo de Víctima,Sexo,Edad
2017-06-03,2017,6,3,23:20:00,12,AVENIDA,AUTO,MASCULINO,25.0
2017-06-04,2017,6,4,09:00:00,3,AVENIDA,MOTO,MASCULINO,19.0
2017-06-04,2017,6,4,12:50:00,9,CALLE,,MASCULINO,70.0
2017-06-12,2017,6,12,22:38:00,1,AVENIDA,PEATON,MASCULINO,55.0
2017-06-13,2017,6,13,14:50:00,2,AVENIDA,PEATON,FEMENINO,30.0
2017-06-17,2017,6,17,23:45:00,14,CALLE,MOTO,FEMENINO,60.0
2017-06-19,2017,6,19,16:26:00,3,CALLE,MOTO,MASCULINO,33.0
2017-06-22,2017,6,22,10:15:00,9,AVENIDA,PEATON,FEMENINO,95.0
2017-06-25,2017,6,25,22:40:00,4,AVENIDA,PEATON,MASCULINO,36.0
2017-07-04,2017,7,4,00:25:00,9,AVENIDA,MOTO,MASCULINO,37.0
2017-07-05,2017,7,5,12:49:00,2,AVENIDA,PEATON,FEMENINO,73.0
2017-07-07,2017,7,7,14:15:00,4,AVENIDA,PEATON,MASCULINO,84.0
2017-07-09,2017,7,9,07:30:00,9,AVENIDA,PEATON,FEMENINO,30.0
2017-07-10,2017,7,10,10:45:00,3,CALLE,PEATON,FEMENINO,73.0
2017-07-10,2017,7,10,22:30:00,1,AVENIDA,PEATON,MASCULINO,43.0
2017-07-13,2017,7,13,12:05:00,9,CALLE,,MASCULINO,23.0
2017-07-15,2017,7,15,05:15:00,11,GRAL PAZ,PEATON,MASCULINO,22.0
2017-07-15,2017,7,15,13:00:00,12,GRAL PAZ,MOTO,MASCULINO,58.0
2017-07-24,2017,7,24,22:16:01,1,AUTOPISTA,PEATON,MASCULINO,66.0
2017-07-25,2017,7,25,16:48:40,13,AUTOPISTA,PEATON,MASCULINO,42.16716867469879
2017-07-27,2017,7,27,08:50:00,10,CALLE,BICICLETA,FEMENINO,56.0
2017-08-06,2017,8,6,08:00:00,14,AVENIDA,MOTO,MASCULINO,36.0
2017-08-07,2017,8,7,19:50:00,13,AVENIDA,PEATON,MASCULINO,87.0
2017-08-08,2017,8,8,12:10:00,7,CALLE,PEATON,FEMENINO,61.0
2017-08-17,2017,8,17,19:45:00,14,AVENIDA,BICICLETA,MASCULINO,28.0
2017-08-21,2017,8,21,07:45:00,3,CALLE,MOTO,FEMENINO,16.0
2017-08-23,2017,8,23,10:00:00,13,AVENIDA,PEATON,FEMENINO,61.0
2017-08-24,2017,8,24,01:10:00,4,AVENIDA,PEATON,MASCULINO,46.0
2017-08-25,2017,8,25,09:00:00,1,AVENIDA,PEATON,FEMENINO,18.0
2017-08-31,2017,8,31,19:50:00,14,CALLE,PEATON,FEMENINO,85.0
2017-09-01,2017,9,1,11:30:00,13,AVENIDA,MOTO,MASCULINO,41.0
2017-09-02,2017,9,2,04:53:08,12,GRAL PAZ,OBJETO FIJO,MASCULINO,17.0
2017-09-02,2017,9,2,04:53:08,12,GRAL PAZ,OBJETO FIJO,MASCULINO,10.0
2017-09-04,2017,9,4,21:00:00,7,AVENIDA,MOTO,MASCULINO,21.0
2017-09-06,2017,9,6,14:15:00,1,AVENIDA,PEATON,MASCULINO,56.0
2017-09-07,2017,9,7,18:23:37,4,CALLE,PEATON,FEMENINO,79.0
2017-09-10,2017,9,10,09:32:17,7,AUTOPISTA,AUTO,MASCULINO,1.0
2017-09-10,2017,9,10,09:32:17,7,AUTOPISTA,AUTO,MASCULINO,42.16716867469879
2017-09-11,2017,9,11,06:30:00,1,AVENIDA,PEATON,FEMENINO,76.0
2017-09-15,2017,9,15,02:30:00,2,AVENIDA,AUTO,MASCULINO,26.0
2017-09-19,2017,9,19,18:52:33,5,AVENIDA,MOTO,MASCULINO,34.0
2017-09-20,2017,9,20,22:24:00,12,GRAL PAZ,MOTO,MASCULINO,22.0
2017-09-22,2017,9,22,07:02:09,4,AVENIDA,MOTO,FEMENINO,26.0
2017-10-02,2017,10,2,15:55:33,9,AUTOPISTA,MOTO,MASCULINO,20.0
2017-10-10,2017,10,10,01:05:38,8,AVENIDA,PEATON,FEMENINO,36.0
2017-10-12,2017,10,12,14:40:28,15,CALLE,MOTO,MASCULINO,51.0
2017-10-13,2017,10,13,06:12:20,8,AVENIDA,MOTO,MASCULINO,29.0
2017-10-14,2017,10,14,06:15:00,8,AVENIDA,AUTO,MASCULINO,39.0
2017-10-14,2017,10,14,06:15:00,8,AVENIDA,AUTO,MASCULINO,36.0
2017-10-16,2017,10,16,07:45:00,2,AVENIDA,MOTO,MASCULINO,24.0
2017-10-17,2017,10,17,12:30:00,6,CALLE,PEATON,FEMENINO,60.0
2017-10-26,2017,10,26,19:15:15,9,AUTOPISTA,MOTO,MASCULINO,57.0
2017-10-27,2017,10,27,05:30:00,15,AVENIDA,AUTO,MASCULINO,23.0
2017-10-30,2017,10,30,14:00:00,8,AVENIDA,MOTO,MASCULINO,23.0
2017-11-06,2017,11,6,18:00:00,8,AVENIDA,PEATON,FEMENINO,47.0
2017-11-07,2017,11,7,12:14:10,15,AVENIDA,MOTO,MASCULINO,24.0
2017-11-16,2017,11,16,08:43:00,4,AVENIDA,PEATON,MASCULINO,55.0
2017-11-17,2017,11,17,11:45:00,11,AVENIDA,PEATON,FEMENINO,60.0
2017-11-19,2017,11,19,10:30:00,7,AVENIDA,MOTO,MASCULINO,25.0
2017-11-19,2017,11,19,22:30:00,8,AVENIDA,AUTO,FEMENINO,15.0
2017-11-19,2017,11,19,23:22:17,4,AUTOPISTA,MOTO,MASCULINO,24.0
2017-11-23,2017,11,23,19:45:00,6,AVENIDA,PEATON,FEMENINO,22.0
2017-11-25,2017,11,25,21:45:00,11,CALLE,AUTO,MASCULINO,50.0
2017-11-26,2017,11,26,06:45:00,8,GRAL PAZ,AUTO,FEMENINO,50.0
2017-11-26,2017,11,26,17:05:00,5,CALLE,MOTO,MASCULINO,58.0
2017-11-28,2017,11,28,11:15:00,9,GRAL PAZ,MOTO,MASCULINO,49.0
2017-11-29,2017,11,29,10:45:00,3,AVENIDA,PEATON,FEMENINO,82.0
2017-11-30,2017,11,30,12:20:00,1,AVENIDA,PEATON,MASCULINO,13.0
2017-12-04,2017,12,4,01:15:00,9,AVENIDA,PEATON,MASCULINO,56.0
2017-12-04,2017,12,4,02:15:00,4,CALLE,PEATON,MASCULINO,42.16716867469879
