ID,FECHA,AÑO,MES,HORA,pos x,pos y,TIPO_DE_CALLE,COMUNA,VICTIMA,ACUSADO,N_VICTIMAS,ROL,SEXO,EDAD
2016-0118,2016-09-04,2016,9,03:30:00,-58.37936704,-34.62694503,AUTOPISTA,1,AUTO,AUTO,1,CONDUCTOR,MASCULINO,27
2016-0119,2016-09-04,2016,9,06:40:00,-58.49659234,-34.56353635,AVENIDA,12,SD,SD,1,PASAJERO_ACOMPAÑANTE,FEMENINO,SD
2016-0122,2016-09-13,2016,9,07:10:00,-58.47256391,-34.65194557,AVENIDA,9,BICICLETA,PASAJEROS,1,CICLISTA,MASCULINO,49
2016-0123,2016-09-14,2016,9,09:00:00,-58.45130953,-34.64053676,AVENIDA,7,MOTO,AUTO,1,CONDUCTOR,FEMENINO,58
2016-0124,2016-09-16,2016,9,15:24:00,-58.46271207,-34.62884871,AVENIDA,7,PEATON,PASAJEROS,1,PEATON,MASCULINO,67
2016-0125,2016-09-17,2016,9,12:14:00,-58.49020869,-34.64243791,AUTOPISTA,10,MOTO,MOTO,1,CONDUCTOR,MASCULINO,30
2016-0126,2016-09-18,2016,9,22:45:00,-58.52572109,-34.62125906,CALLE,10,AUTO,CARGAS,2,CONDUCTOR,MASCULINO,37
2016-0126,2016-09-18,2016,9,22:45:00,-58.52572109,-34.62125906,CALLE,10,AUTO,CARGAS,2,PASAJERO_ACOMPAÑANTE,MASCULINO,60
2016-0127,2016-09-24,2016,9,10:25:00,-58.44094791,-34.66677111,AVENIDA,8,PEATON,PASAJEROS,1,PEATON,MASCULINO,50
2016-0128,2016-10-02,2016,10,11:30:00,-58.41914024,-34.6305389,AVENIDA,5,PEATON,PASAJEROS,1,PEATON,FEMENINO,81
2016-0130,2016-10-04,2016,10,12:30:00,-58.37910942,-34.62764717,AUTOPISTA,1,MOTO,CARGAS,1,CONDUCTOR,MASCULINO,29
2016-0131,2016-10-09,2016,10,19:13:00,-58.39871183,-34.64539318,CALLE,4,PEATON,AUTO,1,PEATON,MASCULINO,35
2016-0132,2016-10-10,2016,10,02:30:00,-58.41036975,-34.62477021,AVENIDA,3,AUTO,PASAJEROS,1,PASAJERO_ACOMPAÑANTE,MASCULINO,30
2016-0133,2016-10-14,2016,10,00:05:00,-58.40204698,-34.5834269,AVENIDA,14,MOTO,AUTO,1,CONDUCTOR,MASCULINO,41
2016-0134,2016-10-23,2016,10,05:00:00,-58.48935287,-34.67648597,AVENIDA,8,MOTO,OBJETO FIJO,1,CONDUCTOR,MASCULINO,25
2016-0135,2016-10-24,2016,10,05:00:00,-58.42260225,-34.56403694,AVENIDA,14,PEATON,SD,1,PEATON,MASCULINO,29
2016-0136,2016-10-25,2016,10,00:00:00,0.0,0.0,AUTOPISTA,4,MOTO,CARGAS,1,CONDUCTOR,SD,SD
2016-0137,2016-10-25,2016,10,00:39:00,-58.51537091,-34.59035925,AVENIDA,11,MOTO,MOTO,1,CONDUCTOR,MASCULINO,30
2016-0138,2016-10-27,2016,10,20:30:00,-58.4590967,-34.55922742,AVENIDA,13,BICICLETA,CARGAS,1,CICLISTA,FEMENINO,33
2016-0139,2016-10-28,2016,10,23:00:00,-58.42008769,-34.56539579,AVENIDA,14,MOTO,MOTO,1,PASAJERO_ACOMPAÑANTE,FEMENINO,35
2016-0140,2016-10-31,2016,10,02:58:00,-58.45566399,-34.56147293,AVENIDA,13,PASAJEROS,PASAJEROS,1,PASAJERO_ACOMPAÑANTE,MASCULINO,20
2016-0142,2016-11-05,2016,11,23:30:00,-58.37533517,-34.59276462,AVENIDA,1,MOTO,PASAJEROS,1,CONDUCTOR,MASCULINO,46
2016-0143,2016-11-06,2016,11,04:41:00,-58.44451316,-34.68475866,AVENIDA,8,MOTO,SD,1,CONDUCTOR,MASCULINO,35
2016-0144,2016-11-07,2016,11,12:10:00,-58.35975012,-34.63343907,AVENIDA,4,PEATON,PASAJEROS,1,PEATON,MASCULINO,83
2016-0145,2016-11-07,2016,11,20:56:00,-58.44523595,-34.55953855,AVENIDA,13,MOTO,AUTO,1,CONDUCTOR,MASCULINO,39
2016-0146,2016-11-09,2016,11,20:00:00,-58.39626094,-34.63036565,AVENIDA,4,PEATON,PASAJEROS,1,PEATON,FEMENINO,29
2016-0147,2016-11-16,2016,11,21:15:00,-58.38896772,-34.61799615,AVENIDA,1,MOVIL,PASAJEROS,1,PASAJERO_ACOMPAÑANTE,MASCULINO,55
