ID;N_VICTIMAS;FECHA;HORA;TIPO_DE_CALLE;COMUNA;POS_X;POS_Y;ACUSADO
2017-0083;1;2017-07-04;0;AVENIDA;9;-58.496;-34.6456;CARGAS
2017-0084;1;2017-07-05;12;AVENIDA;2;-58.385;-34.587;PASAJEROS
2017-0085;1;2017-07-07;14;AVENIDA;4;-58.3726;-34.6315;PASAJEROS
2017-0086;1;2017-07-09;7;AVENIDA;9;-58.5188;-34.6391;MOTO
2017-0087;1;2017-07-10;10;CALLE;3;-58.411;-34.6152;AUTO
2017-0088;1;2017-07-10;22;AVENIDA;1;-58.368;-34.6252;PASAJEROS
2017-0089;1;2017-07-13;12;CALLE;9;-58.5151;-34.6479;AUTO
2017-0090;1;2017-07-15;5;GRAL PAZ;11;-58.5193;-34.5917;AUTO
2017-0091;1;2017-07-15;13;GRAL PAZ;12;-58.4867;-34.5432;SD
2017-0092;1;2017-07-24;22;AUTOPISTA;1;-58.3827;-34.6228;AUTO
2017-0093;1;2017-07-25;16;AUTOPISTA;13;-58.4363;-34.5497;AUTO
2017-0094;1;2017-07-27;8;CALLE;10;-58.5264;-34.6177;CARGAS
2017-0095;1;2017-08-06;8;AVENIDA;14;-58.4189;-34.5978;AUTO
2017-0096;1;2017-08-07;19;AVENIDA;13;-58.4676;-34.5497;PASAJEROS
2017-0098;1;2017-08-08;12;CALLE;7;-58.4572;-34.6313;AUTO
2017-0099;1;2017-08-17;19;AVENIDA;14;-58.4241;-34.5621;AUTO
2017-0100;1;2017-08-21;7;CALLE;3;-58.3967;-34.6151;OBJETO FIJO
2017-0101;1;2017-08-23;10;AVENIDA;13;-58.4454;-34.5708;MULTIPLE
2017-0102;1;2017-08-24;1;AVENIDA;4;-58.4006;-34.6511;CARGAS
2017-0104;1;2017-08-25;9;AVENIDA;1;-58.3811;-34.6185;CARGAS
2017-0106;1;2017-08-31;19;CALLE;14;-58.4253;-34.5804;PASAJEROS
2017-0107;1;2017-09-01;11;AVENIDA;13;-58.4606;-34.544;CARGAS
2017-0108;2;2017-09-02;4;GRAL PAZ;12;-58.4949;-34.548;AUTO
2017-0109;1;2017-09-04;21;AVENIDA;7;-58.4713;-34.6367;AUTO
2017-0110;1;2017-09-06;14;AVENIDA;1;-58.3705;-34.6019;PASAJEROS
2017-0111;1;2017-09-07;18;CALLE;4;-58.4202;-34.6423;CARGAS
2017-0112;2;2017-09-10;9;AUTOPISTA;7;-58.4581;-34.64;OBJETO FIJO
2017-0113;1;2017-09-11;6;AVENIDA;1;-58.377;-34.5957;PASAJEROS
2017-0114;1;2017-09-15;2;AVENIDA;2;-58.391;-34.585;OBJETO FIJO
2017-0115;1;2017-09-19;18;AVENIDA;5;-58.4218;-34.6309;BICICLETA
2017-0116;1;2017-09-20;22;GRAL PAZ;12;-58.5139;-34.5808;OBJETO FIJO
2017-0118;1;2017-09-22;7;AVENIDA;4;-58.3759;-34.6523;AUTO
2017-0120;1;2017-10-02;15;AUTOPISTA;9;-58.473;-34.6625;CARGAS
2017-0123;1;2017-10-10;1;AVENIDA;8;-58.4686;-34.6722;AUTO
2017-0124;1;2017-10-12;14;CALLE;15;-58.4425;-34.5919;PASAJEROS
2017-0125;1;2017-10-13;6;AVENIDA;8;-58.4662;-34.6793;OBJETO FIJO
2017-0126;2;2017-10-14;6;AVENIDA;8;-58.48;-34.6815;OBJETO FIJO
2017-0127;1;2017-10-16;7;AVENIDA;2;-58.4119;-34.598;MOTO
2017-0128;1;2017-10-17;12;CALLE;6;-58.4403;-34.6135;PASAJEROS
2017-0129;1;2017-10-26;19;AUTOPISTA;9;-58.4716;-34.6493;PASAJEROS
2017-0130;1;2017-10-27;5;AVENIDA;15;-58.4788;-34.5997;CARGAS
2017-0132;1;2017-10-30;14;AVENIDA;8;-58.4655;-34.6937;PASAJEROS
2017-0134;1;2017-11-06;18;AVENIDA;8;-58.4424;-34.6678;PASAJEROS
2017-0135;1;2017-11-07;12;AVENIDA;15;-58.4703;-34.5963;CARGAS
2017-0136;1;2017-11-16;8;AVENIDA;4;-58.4183;-34.6552;PASAJEROS
2017-0137;1;2017-11-17;11;AVENIDA;11;-58.5128;-34.5928;CARGAS
2017-0138;1;2017-11-19;10;AVENIDA;7;-58.4626;-34.6439;OBJETO FIJO
2017-0139;1;2017-11-19;22;AVENIDA;8;-58.4506;-34.68;OBJETO FIJO
2017-0140;1;2017-11-19;23;AUTOPISTA;4;-58.3768;-34.6376;PASAJEROS
2017-0141;1;2017-11-23;19;AVENIDA;6;-58.4272;-34.6251;PASAJEROS
2017-0143;1;2017-11-25;21;CALLE;11;-58.4644;-34.6072;PASAJEROS
2017-0144;1;2017-11-26;6;GRAL PAZ;8;-58.4706;-34.6984;OBJETO FIJO
2017-0145;1;2017-11-26;17;CALLE;5;-58.4168;-34.6122;AUTO
2017-0147;1;2017-11-28;11;GRAL PAZ;9;-58.5025;-34.6745;AUTO
2017-0148;1;2017-11-29;10;AVENIDA;3;-58.4071;-34.6244;PASAJEROS
2017-0149;1;2017-11-30;12;AVENIDA;1;-58.3695;-34.6148;PASAJEROS
